1,'@FORM',1,0,Changed
1,cmdButton,1,18,Changed
3,'@FORM',1,0,Changed
3,cmdButton,1,4,Changed
3,cmdButton,2,5,Changed
3,LabelCalc,1,21,Changed
3,TrueGrid,1,1,Changed
4,'@FORM',1,0,Changed
4,cmdButton,1,12,Changed
4,cmdButton,2,16,Changed
4,cmdButton,3,17,Changed
4,cmdButton,4,15,Changed
4,cmdButton,5,14,Changed
4,Label,1,32,Changed
4,LabelCalc,1,1,Changed
4,LabelCalc,2,2,Changed
4,LabelCalc,3,4,Changed
4,LabelCalc,4,5,Changed
4,LabelCalc,5,6,Changed
4,LabelCalc,6,7,Changed
4,LabelCalc,7,8,Changed
4,LabelCalc,8,9,Changed
4,LabelCalc,9,10,Changed
4,LabelCalc,10,11,Changed
4,LabelCalc,11,3,Changed
4,LabelCalc,12,0,New
4,Line,1,0,Changed
4,Shape,1,0,Changed
4,TrueGrid,1,13,Changed
